model,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
yolo,0,1749296573.8118575,0,0,0,0.6344827586206897,0.7244094488188977,0.7322834645669292,0.12598425196850394,0,0,0,0,0,0
yolo+gemini,0,1749296573.811877,0,0,0,0.6551724137931034,0.7480314960629921,0.7559055118110236,0.11811023622047244,0,0,0,0,0,0
yolo,1,1749296573.8118882,0,0,0,0.6344827586206897,0.7244094488188977,0.7322834645669292,0.12598425196850394,0,0,0,0,0,0
yolo+gemini,1,1749296573.8118968,0,0,0,0.6551724137931034,0.7480314960629921,0.7559055118110236,0.11811023622047244,0,0,0,0,0,0
yolo,2,1749296573.8119042,0,0,0,0.6344827586206897,0.7244094488188977,0.7322834645669292,0.12598425196850394,0,0,0,0,0,0
yolo+gemini,2,1749296573.8119113,0,0,0,0.6551724137931034,0.7480314960629921,0.7559055118110236,0.11811023622047244,0,0,0,0,0,0
yolo,3,1749296573.8119183,0,0,0,0.6344827586206897,0.7244094488188977,0.7322834645669292,0.12598425196850394,0,0,0,0,0,0
yolo+gemini,3,1749296573.8119247,0,0,0,0.6551724137931034,0.7480314960629921,0.7559055118110236,0.11811023622047244,0,0,0,0,0,0
yolo,4,1749296573.8119314,0,0,0,0.6344827586206897,0.7244094488188977,0.7322834645669292,0.12598425196850394,0,0,0,0,0,0
yolo+gemini,4,1749296573.811938,0,0,0,0.6551724137931034,0.7480314960629921,0.7559055118110236,0.11811023622047244,0,0,0,0,0,0
yolo,5,1749296573.8119578,0,0,0,0.6344827586206897,0.7244094488188977,0.7322834645669292,0.12598425196850394,0,0,0,0,0,0
yolo+gemini,5,1749296573.8119648,0,0,0,0.6551724137931034,0.7480314960629921,0.7559055118110236,0.11811023622047244,0,0,0,0,0,0
yolo,6,1749296573.8119712,0,0,0,0.6344827586206897,0.7244094488188977,0.7322834645669292,0.12598425196850394,0,0,0,0,0,0
yolo+gemini,6,1749296573.8119776,0,0,0,0.6551724137931034,0.7480314960629921,0.7559055118110236,0.11811023622047244,0,0,0,0,0,0
yolo,7,1749296573.811984,0,0,0,0.6344827586206897,0.7244094488188977,0.7322834645669292,0.12598425196850394,0,0,0,0,0,0
yolo+gemini,7,1749296573.8119905,0,0,0,0.6551724137931034,0.7480314960629921,0.7559055118110236,0.11811023622047244,0,0,0,0,0,0
yolo,8,1749296573.8119972,0,0,0,0.6344827586206897,0.7244094488188977,0.7322834645669292,0.12598425196850394,0,0,0,0,0,0
yolo+gemini,8,1749296573.8120036,0,0,0,0.6551724137931034,0.7480314960629921,0.7559055118110236,0.11811023622047244,0,0,0,0,0,0
yolo,9,1749296573.81201,0,0,0,0.6344827586206897,0.7244094488188977,0.7322834645669292,0.12598425196850394,0,0,0,0,0,0
yolo+gemini,9,1749296573.812016,0,0,0,0.6551724137931034,0.7480314960629921,0.7559055118110236,0.11811023622047244,0,0,0,0,0,0
yolo,10,1749296573.8120222,0,0,0,0.6344827586206897,0.7244094488188977,0.7322834645669292,0.12598425196850394,0,0,0,0,0,0
yolo+gemini,10,1749296573.812029,0,0,0,0.6551724137931034,0.7480314960629921,0.7559055118110236,0.11811023622047244,0,0,0,0,0,0
yolo,11,1749296573.8120356,0,0,0,0.6344827586206897,0.7244094488188977,0.7322834645669292,0.12598425196850394,0,0,0,0,0,0
yolo+gemini,11,1749296573.812042,0,0,0,0.6551724137931034,0.7480314960629921,0.7559055118110236,0.11811023622047244,0,0,0,0,0,0
yolo,12,1749296573.8120484,0,0,0,0.6344827586206897,0.7244094488188977,0.7322834645669292,0.12598425196850394,0,0,0,0,0,0
yolo+gemini,12,1749296573.8120546,0,0,0,0.6551724137931034,0.7480314960629921,0.7559055118110236,0.11811023622047244,0,0,0,0,0,0
yolo,13,1749296573.8120785,0,0,0,0.6344827586206897,0.7244094488188977,0.7322834645669292,0.12598425196850394,0,0,0,0,0,0
